title|description|company|salaryFrom|salaryTo|currency|offerURL|technologies|addedAt
Remote JavaScript Developer (TypeScript, Next.js)|Full-Stack JavaScript Developer (TypeScript, Next.js)Lokalizacja: Zdalna (z możliwością wyjazdów zagranicznych) White Label Coders to grupa inżynierów, specjalistów IT, projektantów i kierowników projektów doświadczonych w projektowaniu i tworzeniu zaawansowanych aplikacji internetowych głównie w PHP, Angular, Node JS i React.Realizujemy projekty dla klientów z firmami z USA, Kanady, Wielkiej Brytanii, Holandii, Australii, Singapuru, czy Polski.Obecnie poszukujemy developera, który pomoże  w rozwoju zaawansowanej platformy SaaS dla sektora Enterprise Hosting, blisko powiązanej z WordPress. Oferujemy:  Wynagrodzenie w przedziale 20k-25k PLN / miesiąc na kontrakcie B2B. Praca w małym zespole (aktualnie 8 osób) z dużym wpływem na projekt. Możliwość pracy nad innowacyjną platformą SaaS dla sektora Enterprise Hosting. Elastyczność w zakresie metodyki pracy. Uczestnictwo w wyjazdach integracyjnych dla całego zespołu. Praca 100% zdalna lub w biurze w Gliwicach z łatwym dojazdem i bezpłatnym parkingiem  rozwiń|White Label Coders|20 000|25 000|PLN|https://nofluffjobs.com/pl/job/remote-javascript-developer-typescript-next-js-white-label-coders|JavaScript TypeScript Next.js Angielski WordPress PHP PostgreSQL GitHub Actions SaaS|Fri Sep 22 2023
Remote TypeScript/JavaScript Developer - ASAP|Jeśli interesujesz się zastosowaniem najnowocześniejszych rozwiązań na potrzeby rynku kapitałowego, albo chciałbyś zdobyć ciekawe doświadczenie, dołącz do naszego zespołu. Tworzymy nowoczesną Platformę Transakcyjną, praca z nami to gwarancja dużych wyzwań i ciekawych doświadczeń w wyjątkowym projekcie. Powierzymy Ci prace programistyczne jako programista TypeScript, w związku z implementacją modelu koncepcyjnego i prototypu oprogramowania systemu transakcyjnego. Otrzymasz zadania mające na celu dostarczanie wyników prac, tworzonych na podstawie dostarczanych specyfikacji: modelu zintegrowanej nowoczesnej Platformy Transakcyjnej. Zgodnie z założeniami, wszystko to powinno skutkować zaprojektowaniem i realizacją prac w oparciu o stworzony opis ogólny modelu analitycznego rozwiązania. Proces rekrutacji:  Zadanie rekruatcyjne Rozmowa teczniczna (1h) Decyzja  rozwiń|Giełda Papierów Wartościowych S.A.|20 160|30 240|PLN|https://nofluffjobs.com/pl/job/remote-typescript-javascript-developer-asap-gielda-papierow-wartosciowych|TypeScript JavaScript Docker Git RxJS Node.js WebSocket CSS SCSS Sass Polski (C2) Angielski (B1) Linux Event Sourcing|Fri Sep 22 2023
Senior JavaScript Developer (AI projects)|We are looking for an experienced and skilled Senior JavaScript Developer, with a passion for AI. If you already have extensive knowledge of React.js and Node.js and you are looking for a next step in your career - this is a role for you! This is a chance to join ambitious AI open-source projects and work in a stimulating environment while utilizing the best software engineering practices and modern tools. You will have a chance to learn how to build AI-based solutions by working directly with an expert in this field.|10Clouds|17 000|28 000|PLN|https://nofluffjobs.com/pl/job/senior-javascript-developer-ai-projects-10clouds-remote|Node.js JavaScript Git Express.js Linux/Unix Proactivity Communication skills Node React TypeScript CAN Kubernetes SQL NoSQL AI Angielski Scrum AWS Docker Agile Next.js Vue.js|Fri Sep 22 2023
Senior Frontend Developer with JavaScript|We currently have a vacancy for a Front-End Developer fluent in English to offer their services as an expert who will be based in Brussels, Belgium. The work will be carried out either on the company’s premises or on-site at customer premises. The successful candidate will be integrated and closely cooperate with a major client’s IT team, on-site.|Shuter Smith International|28 056|28 056|PLN|https://nofluffjobs.com/pl/job/senior-frontend-developer-with-javascript-shuter-smith-international-brussels|Degree Web Services HTML CSS JavaScript Jira Confluence jQuery Angielski (C1) SQL|Wed Sep 20 2023
Full Stack Node Developer with Angular|Vizlib is a fast-paced, innovative data analytics company. We help leading global businesses (such as Novartis, HSBC, Philips, IKEA, Schindler and many more) transform their reporting into eye-catching visual data stories. Our diverse, international team collaborates daily to create intuitive UI products for Qlik Sense that put the customer first, and bring people and data closer together.  Join us as we redefine what’s possible and build a new data-driven world in the cloud! The Role  We are looking for an experienced and energetic Senior Full-Stack Developer (ideally Angular with express / NestJS) to join our development team.You'll be working on the development and support of our core infrastructure toolchain, that allows our customers to purchase and use our products.Our teams build and maintain projects from inception to launch, including bug fixes, new features development and re-factoring.You’ll be joining a team of creative, dynamic engineers that work together to redefine what’s possible in the SaaS, data analytics industry, and continually push for excellence. The Rewards We believe in providing the best environment to allow you to do your best work, and we currently offer the following:  Competitive salary hybrid work model (minimum 3 days in the office and 2 days work from home)(łodz, Poznan) Recognition awards Generous training grant Private health care including dental treatment (comprehensive care package with Luxmed) MultiSport card Sports integration - inc. weekly squash fun Business trips and integration events Fresh fruits, snacks, coffee and cold beverages for everyone in the office Free library with a wide range of games and books (and an ice-hockey table!) In-company English language classes and conversation No dress code  Sound good? So, what are you waiting for? Apply now for a chance to be part of an inspirational and talented team. Vizlib is an equal opportunity employer. The company will not unlawfully discriminate on grounds of gender, sexual orientation, marital or civil partner status, gender reassignment, race, religion or belief, colour, nationality, ethnic or national origin, disability or age, pregnancy or trade union membership. rozwiń|Vizlib|20 664|34 440|PLN|https://nofluffjobs.com/pl/job/full-stack-node-developer-with-angular-vizlib-remote|JavaScript TypeScript GitHub Actions OOP Clean Code Webpack Git Angular Node.js Angielski (B2) HTML5 CSS3 MongoDB NestJS d3.js jenkins Circle CI|Thu Sep 21 2023
JavaScript Developer|About the projectWe are looking for an awesome Junior/Mid JavaScript Developer to join our remote games development team. 4ThePlayer.com is an up-and-coming creator of online gambling games (slots, table games, and others). The company was founded in 2018 by two luminaries of the gambling gaming industry, Chris Ash and Andrew Porter, who have a combined 40 years of gaming industry experience. 4ThePlayer has been tipped for significant success, shortlisted for industry awards (EGR Awards), and rapidly increasing our reputation for a forward-thinking approach to game design. We are on track for exponential growth and to become an industry leader.Our requirementsMinimum of 1 year of experience as a Frontend Developer.Experience in JavaScript/TypeScript development, with a deep understanding of core concepts and best practices.Solid understanding of object-oriented programming principles and design patterns.Experience in working with RESTful APIs and microservices architecture.Bachelor's degree in Computer Science, Software Engineering, or a related field.Knowledge of version control systems (GIT, SVN).OptionalExperience working in the online gambling or gaming industry.Experience in pixi.js.Strong problem-solving skills and ability to analyze and optimize code for performance.Your responsibilitiesCreating games using high-quality code in JavaScript/TypeScript.Implement animations, effects, and particle systems.Collaborate with the front-end development team to integrate server-side logic with user-facing elements.Identify and resolve development problems.Stay updated with emerging technologies and industry trends to continually improve the development process.Collaborate with cross-functional teams to define project requirements and deliver solu.|4 The Player|6500|10 000|zł|https://theprotocol.it/szczegoly/praca/javascript-developer-gdan-sk,oferta,cc570000-97b1-6af7-bf4f-08dbb8ff52a5?s=11349894521&searchId=22500580-5941-11ee-800b-ff4564033d5f|JavaScript OOP REST Git TypeScript Webpack Node.js Pixi.js Windows macOS Linux|Not specified.
JavaScript Developer|About the projectThe JavaScript team develops two parts of an integrated solution, used for content distribution to large format displays (LFDs). One part is working on a content creator web tool and other part develops web framework with components, which can be used on TVs and LFDs. Both applications are JavaScript projects with appropriate technology stack.The team consists of passionate engineers, professionals in their field of competence. Development team is responsible for real-life projects, released on the market and for creating new software concepts, which gives opportunity to proactively improve own knowledge, skills and experience.Our requirementsBachelor’s degree in computer science, electronics or other technical related field4+ years of software development experienceDeep knowledge of JavaScript fundamentals and fluent coding skillsGood understanding of object-oriented and functional programmingExperience with top JS frameworks and libraries: Angular, ReactOptionalBackground in a functional programming language, like Haskell or LispExperience with TypescriptKnowledge of communication with backend, OSI modelYour responsibilitiesYou will work as a JavaScript developer, providing results with best possible quality in expected timeAs a member of a multi-national team, you will work on go-to-market solutionsWe expect from you self-development and will give you the possibility to elevate your software engineering skills|Samsung R&D Institute Poland|Not specified|Not specified|Not specified|https://theprotocol.it/szczegoly/praca/javascript-developer-warszawa-plac-europejski-1,oferta,a97b0000-bb74-1e7d-85a9-08dbaec0d398?s=11349894521&searchId=22500580-5941-11ee-800b-ff4564033d5f|JavaScript Angular React TypeScript|Not specified.
Lead Javascript Developer|undefinedNasze wymaganiaMinimum 5 lat doświadczenia komercyjnego, w tym co najmniej 2 lata doświadczenia w zarządzaniu zespołem;Znajomość Node.js, React, TypeScript;Chęć zdobywania i pogłębiania wiedzy;Rozwinięte umiejętności komunikacyjne;Umiejętność prowadzenia projektów IT;Umiejętność budowania relacji z interesariuszami;Zdolności negocjacyjne oraz umiejętność rozwiązywania problemów;Pragmatyczne podejście do pracy i technologii;Mile widziane doświadczenie z MongoDB, ElasticSearch, RabbitMQ.Twój zakres obowiązkówRozwój oprogramowania autorskiej platformy marketplace opartej na nowoczesnej technologii;Tworzenie, projektowanie i wdrażanie nowych rozwiązań;Opieka nad platformą oraz naprawa zgłaszanych błędów;Przygotowywanie, planowanie oraz dokumentowanie zadań;Zarządzanie zespołem.|ERLI S.A.|Not specified|Not specified|Not specified|https://theprotocol.it/szczegoly/praca/lead-javascript-developer-krako-w,oferta,45750000-8c98-e2ac-d40d-08dba8907919?s=11349894521&searchId=22500580-5941-11ee-800b-ff4564033d5f|Node.js TypeScript React.js MongoDB Elasticsearch RabbitMQ|Not specified.
Full Stack JS Developer|About the projectOur Polish-Norwegian team is creating state-of-the-art admin tech solutions for the Scandinavian market. We are making the 21st App - a solution supporting modern decision-making processes in companies.Our requirements4+ years experience in developing front-end applicationsrock solid knowledge of the core front-end technologies: HTML, CSS, JavaScriptfamiliarity with the back-end technologies and conceptsexpert-level knowledge of JavaScript in the TypeScript flavorexcellent coding, designing, debugging, testing, and problem-solving skillsexperience building web applications using REST servicesmust have experience developing complex, semi-thick client-side web applicationsa solid understanding of the following concepts: modular development, functional programming, DRY, closuresthorough knowledge of how client applications communicate over HTTP with distributed web servicesOptionaldecent theoretical knowledge of the ops stuff: containers, scaling services, databases, clustersability to create robust web applications from visual concepts, wireframes, and interactive product design sessionsexperience in Agile development and open source projects is preferreda quick learner with excellent communication skills (English and Polish)Your responsibilitiesAs a Fullstack JavaScript Developer, you will work closely with your product development. We are looking for product-oriented people who understand that technology is only exciting when it solves real problems.|EYEDEA sp. z o.o.|8500|12 000|zł|https://theprotocol.it/szczegoly/praca/full-stack-js-developer-biaystok-henryka-sienkiewicza-1-1,oferta,d4cc0000-4bc5-6ac8-5220-08dbb835eac0?s=11349894521&searchId=22500580-5941-11ee-800b-ff4564033d5f|React.js TypeScript Nest.js GraphQL|Not specified.
JavaScript Developer – Digital Media Engineer|About the projectAs a JavaScript Developer, you will be working for our Client – the leading broadcaster in Poland and the global pioneer in real life entertainment, serving a passionate audience of superfans around the world with content that inspires, informs and entertains. A successful candidate will co-create a solution responsible for collecting information and serving content in Hybrid Broadcast Broadband TV technology.Our requirementsMin. 4 years of front end programming experiencePast experience with implementations of large scale IT projectsHigher education, preferably in IT or related fieldsExcellent knowledge of JavaScript (ES6+), HTML, GIT, Babel, WebpackWillingness to learn and actively develop new skillsKnowledge of English allowing reading / writing technical documentationKnowledge of design and object-oriented programming, design patterns, good programming practisesOptionalPast experience with unix environmentsKnowledge of HBBTV (CE-HTML) solutions, ReactJS, NodeJS, Express.js, Nest.js, TypeScript, NoSQL,Knowledge of test frameworks: Jasmine, Karma, Cypress or ProtractorAbility to write unit, functional and integration testsYour responsibilitiesDevelopment and maintenance of a Frontend applicationDevelopment and support of solutions responsible for serving advertising in the digital area, including Web, Mobile and Connected TV platformsDevelopment of solutions based on JS / HTML5 / CE-HTML in the area of digital ad serving technologyImplementation of activities aimed at improving the quality of solutions and processesDevelopment and maintenance of automated tests – tools + tests onlyDevelopment and maintenance of monitoring solutionsActive participation in the development of new solutions and directions of development of the advertising ecosystem (R&D)Work in a friendly, agile environment with a wide range of modern technologiesParticipation in international projects in a very dynamically developing area (digital and programmatic advertising)|ITDS Polska Sp. z o.o.|16 800|25 200|zł|https://theprotocol.it/szczegoly/praca/javascript-developer-digital-media-engineer-warszawa,oferta,d4cc0000-4bc5-6ac8-68d6-08dbb7c9b7c4?s=11349894521&searchId=22500580-5941-11ee-800b-ff4564033d5f|JavaScript HTML Git Babel webpack React.js Node.js Express Nest.js TypeScript NoSQL Jasmine Karma Cypress Protractor Windows|Not specified.